name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kuala Lumpur,Malaysia",2015-01-01,31.9,24,27.1,36.7,24,28.6,23.6,82.5,1.414,100,8.33,rain,,,,11,224,1011.3,90.2,8.5,152.6,13.1,6,,2015-01-01T07:18:16,2015-01-01T19:14:48,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-02,31.7,24,26.7,37.4,24,28,23.1,81.6,1.458,100,8.33,rain,,,,15.5,314.6,1012,89.4,8.4,181.6,15.7,6,,2015-01-02T07:18:43,2015-01-02T19:15:18,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-03,32,24.1,26.9,37.6,24.1,28.4,23.6,83.6,0.907,100,4.17,rain,,,,11.4,138.4,1011.8,89,7.6,199.4,17.1,7,,2015-01-03T07:19:09,2015-01-03T19:15:47,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-04,31.5,24,27.1,36.2,24,29.4,23.4,81.3,1.971,100,4.17,rain,,,,14.1,274.3,1010.7,89.4,8.3,160.3,13.9,7,,2015-01-04T07:19:36,2015-01-04T19:16:16,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-05,32.8,25,28.1,38,25,30.9,24,79.4,0,0,0,,,,,12.8,299.9,1010,89,8.4,148.4,12.7,5,,2015-01-05T07:20:01,2015-01-05T19:16:44,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-06,30.9,24.8,26.8,36.5,24.8,28.7,24.1,85.8,5.768,100,8.33,rain,,,,11.9,323.5,1009.9,89,7.6,111.3,9.5,4,,2015-01-06T07:20:26,2015-01-06T19:17:13,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-07,31,24.9,26.6,36.7,24.9,27.6,23.9,85.7,2.418,100,8.33,rain,,,,20.4,317.8,1010,88.8,8.2,138.7,12,6,,2015-01-07T07:20:51,2015-01-07T19:17:41,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-08,30.8,23.8,25.7,35.4,23.8,26.7,23.5,88.4,36.533,100,16.67,rain,,,46.4,10.7,310.8,1011.5,93.6,8.6,74.8,6.6,3,,2015-01-08T07:21:15,2015-01-08T19:18:08,0.55,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-09,29.9,23,26.2,33.2,23,27.8,23,83.5,4.58,100,12.5,rain,,,,9.8,136.6,1012.9,93,9,74.5,6.5,3,,2015-01-09T07:21:38,2015-01-09T19:18:35,0.59,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-10,32.8,24,28.3,37.6,24,30.6,22.8,73.4,0.046,100,8.33,rain,,,,10.7,180.1,1011,89,10.1,224.6,19.6,8,,2015-01-10T07:22:01,2015-01-10T19:19:02,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-11,31.7,24.8,27.1,37.2,24.8,28.9,23.9,83.3,7.849,100,8.33,rain,,,,9.2,114.8,1011.2,89,9.3,134.4,11.8,4,,2015-01-11T07:22:23,2015-01-11T19:19:29,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-12,33.6,25.1,28.8,37.1,25.1,31,22.1,68.1,0,0,0,,,,,11,78.6,1010.3,89,9.8,252.6,21.8,9,,2015-01-12T07:22:45,2015-01-12T19:19:54,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-13,33,25.1,28.8,37,25.1,31.4,22.2,68.5,0,0,0,,,,,8.6,51.7,1010.4,89,9.8,218.4,18.9,7,,2015-01-13T07:23:06,2015-01-13T19:20:20,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-14,34.9,25.1,28.6,39.4,25.1,30.7,21.8,68.2,1.768,100,4.17,rain,,,,14.7,61.9,1011.6,88.9,10.6,282.8,24.3,10,,2015-01-14T07:23:26,2015-01-14T19:20:45,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-15,34.8,24.1,28.4,37.2,24.1,30.3,22,70.2,2.652,100,4.17,rain,,,,14.1,55,1012,85.4,10.2,281.9,24.2,10,,2015-01-15T07:23:45,2015-01-15T19:21:09,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-16,33,23.1,28.2,35.1,23.1,30,21.8,70.9,0,0,0,,,,31.7,16.1,316.4,1012,88.9,9.3,268.3,23.3,9,,2015-01-16T07:24:04,2015-01-16T19:21:32,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-17,32.9,24,28,36.8,24,29.8,22.2,72.6,0.884,100,4.17,rain,,,,15.7,279,1012,89.8,8.8,281.6,24.2,10,,2015-01-17T07:24:22,2015-01-17T19:21:56,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-18,33.7,24.1,27.8,37.2,24.1,28.9,21.9,72.5,9.724,100,8.33,rain,,,,14.3,173.6,1012,89.8,8.9,264.5,22.8,9,,2015-01-18T07:24:39,2015-01-18T19:22:18,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-19,33,24.1,27.5,36.9,24.1,28.7,21.9,73.5,9.724,100,8.33,rain,,,,14.3,67.1,1012.5,89,9.1,274.9,23.8,10,,2015-01-19T07:24:55,2015-01-19T19:22:40,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
